År;Månad;Företag;M;L (FP);C;KD;S;V;MP;SD;Övriga;M FP C KD (1);S V MP (2);(1) - (2);Osäkra;Publicerad;Intervjperiod;Intervjuer (Bas);FI;PP;Intervjuer (Totalt);
2016;Augusti;Aftonbladet;24,6;4,5;8,3;3,8;26,1;9,4;3,2;17,9;2,2;41,2;38,7;2,5;8;19 aug;10 - 18 aug;2 041;1,7;;;
2016;Augusti;Yougov;23,6;4;6,5;3,1;22,9;8;2,8;24,8;4,5;37,2;33,7;3,5;;19 aug;12 - 16 aug;1 523;3,3;;;
;;;;;;;;;;;;;;;;;;;;;;
2016;Juli;Yougov;23,8;3,3;7,5;3,7;22,6;7,9;3;25;3,3;38,3;33,5;4,8;;19 aug;juli;;1,9;;;
2016;Juli;Demoskop;24,7;5,7;7,9;3,3;26;7,6;4,8;16,8;3,2;41,7;38,3;3,4;;9 juli;28 juni - 5 juli;1 250;2,2;;;
;;;;;;;;;;;;;;;;;;;;;;
2016;Juni;Skop;26,4;5,7;7,7;2,2;29,6;7,2;4,6;14,1;2,4;42;41,4;0,6;7;10 juli 2017;Juni 2016;1 021;1,9;;;
2016;Juni;Ipsos;24;6;7;3;26;8;4;17;3;40;38;2;14;30 juni;7- 16 juni;2 194;2;;;
2016;Juni;Novus;26;5;6,7;2,8;26,2;7,5;4,3;18,2;3,3;40,5;38;2,5;5,8;30 juni;30 maj - 26 juni;4 001;2,4;;;
2016;Juni;YouGov;24,4;3,3;7,4;4;22,7;7,4;3,2;23,3;4,4;39,1;33,3;5,8;;23 juni;17 - 21 juni;1 511;3,1;;;
2016;Juni;Sifo;27,4;5,8;6,3;3,2;26,4;7,1;4,4;15,8;3,5;42,7;37,9;4,8;14,6;18 juni;7 - 16 juni;1 937;2,7;;;
2016;Juni;Aftonbladet;23,7;4,2;7,9;4,8;25,4;8;3,6;19,5;2,9;40,6;37;3,6;8,6;17 juni;6 - 15 juni;2 055;1,5;;;
2016;Juni;Sentio;21;3,9;8;2,8;22,9;6,9;5,3;24,5;4,7;35,7;35,1;0,6;26,3;13 juni;2 - 6 juni;1 008;2,9;0,7;;
2016;Juni;Demoskop;24,7;5,1;6,9;3,5;26,4;6,9;5,3;17,4;3,8;40,2;38,6;1,6;;13 juni;31 maj - 8 juni;1 250;2,3;;;
;;;;;;;;;;;;;;;;;;;;;;
2016;Maj;SCB;24,7;5,4;6,1;3,1;29,5;6,8;4,7;17,3;2,4;39,3;41;-1,7;18;31 maj;28 april - 26 maj;4 838;;;;
2016;Maj;Novus;27,9;5,6;6,4;3,2;23,8;7,7;4,5;17,8;3,1;43,1;36;7,1;6,9;30 maj;9 - 29 maj;3 005;2,2;;;
2016;Maj;Ipsos;24,5;7,1;6,1;3,2;27,8;7,4;3,5;17,1;3,3;40,9;38,7;2,2;17,1;28 maj;16 - 25 maj;1 203;1,8;;;
2016;Maj;YouGov;22,1;5,3;7,9;4,6;22,6;7,5;2,8;22,9;4,4;39,9;32,9;7;;26 maj;19 - 23 maj;1 524;2,8;;;
2016;Maj;Sentio;22,1;4,5;5;3,7;24,8;7,8;4,5;23,7;3,9;35,3;37,1;-1,8;27,9;21 maj;12 - 18 maj;1 045;1,8;1,2;;
2016;Maj;Aftonbladet;23,9;4,7;7,5;5;24,3;9,6;4,4;18,8;1,9;41,1;38,3;2,8;8,6;20 maj;9 - 19 maj;2 284;1,4;;;
2016;Maj;Sifo;25,7;6,2;6,3;4;26,5;7,9;4,1;16,1;3,2;42,2;38,5;3,7;14,8;14 maj;2 - 12 maj;1 937;2,1;;;
2016;Maj;Novus;25,7;6,5;6;3,3;25,9;7,3;4,5;17,7;3,1;41,5;37,7;3,8;6,7;12 maj;18 april - 8 maj;3 005;2,5;;;
2016;Maj;Demoskop;25,5;5,6;7,4;3,3;24,9;8;5,1;16,4;3,8;41,8;38;3,8;11,7;8 maj;26 april - 3 maj;1 254;2,3;;;
2016;Maj;Sifo;27,4;5,4;5,9;4,3;26,5;8,2;4,3;15,3;2,7;43;39;4;15,2;5 maj;25 april - 3 maj;1 936;1,6;;;
;;;;;;;;;;;;;;;;;;;;;;
2016;April;YouGov;23,6;3,6;6,7;2,7;23,5;7,8;5,4;23,6;3,1;36,6;36,7;-0,1;;28 april;15 - 19 april;1 515;2,1;;;
2016;April;Ipsos;28,1;6,3;6,1;3,3;24,4;7,1;4,8;16,6;3,3;43,8;36,3;7,5;16,3;26 april;14 - 25 april;1 200;2,8;;;
2016;April;Aftonbladet;24,2;4,3;7,3;3,9;25,4;8,1;4,6;19,7;2,7;39,7;38,1;1,6;8,6;22 april;7 - 17 april;2 531;1,4;;;
2016;April;Novus;24;5,8;6,8;3,1;26;7,1;5,6;18,9;2,7;39,7;38,7;1;9,7;22 april;21 mars - 17 april;4 002;1,9;;;
2016;April;Sentio;21,1;6;5,6;3;24,1;8,1;4,6;22,3;5,2;35,7;36,8;-1,1;22,6;18 april;6 - 13 april;1 030;2,6;1,6;;
2016;April;Sifo;25,8;5,5;7,3;3,5;26,7;7,2;6;15,7;2,4;42,1;39,9;2,2;11,5;17 april;4 - 14 april;1 945;1,7;;;
2016;April;Demoskop;28;5,3;6,3;3,5;25,5;7,7;5,3;15,5;3;43,1;38,5;4,6;10,8;8 april;29 mars - 6 april;1 252;2,2;;;
;;;;;;;;;;;;;;;;;;;;;;
2016;Mars;Novus;24,2;5,3;6,2;3,4;24,9;7,6;6,2;19,9;2,3;39,1;38,7;0,4;7,7;27 mars;22 feb - 20 mars;4 002;1,5;;;
2016;Mars;Ipsos;25,9;5,4;6,1;3,6;28,9;7,3;5;14,7;3;41;41,3;-0,3;;26 mars;10 - 20 mars;1 203;1,9;;;
2016;Mars;Aftonbladet;23,9;4;6,7;4,2;27,2;7,1;4,8;18,9;3,3;38,8;39,1;-0,3;7,9;23 mars;15 - 22 mars;2 064;2,4;;;
2016;Mars;YouGov;24,6;3,7;5,7;3,6;21,9;7,2;5;24,9;3,4;37,6;34,1;3,5;;16 mars;11 - 14 mars;1 517;2,2;;;
2016;Mars;Skop;25,1;5,1;5,9;4,5;26,7;7;7;16,3;2,4;40,6;40,7;-0,1;11;16 mars;16 feb - 10 mars;1 002;1,9;;;
2016;Mars;Sifo;26,9;5;6,1;3,6;26,2;7,4;6,1;17;1,9;41,6;39,7;1,9;11,9;13 mars;29 feb - 10 mars;1 946;1,1;;;
2016;Mars;Sentio;22,7;4,2;5,3;3,3;22,1;7;6,1;24;5,3;35,5;35,2;0,3;;13 mars;3 - 9 mars;1 028;3,3;1;;
2016;Mars;Demoskop;24,5;6,4;6;3,1;26,3;7,2;5,7;17,7;3,1;39,9;39,2;0,7;8,6;4 mars;23 feb - 2 mars;1 250;2;;;
;;;;;;;;;;;;;;;;;;;;;;
2016;Februari;Ipsos;25,6;7,4;6,2;3,4;25,1;7,7;5,3;16,2;3,2;42,6;38,1;4,5;17,2;26 feb;11 - 21 feb;1 200;2,2;;;
2016;Februari;Novus;25;5,8;6,6;3,5;24,1;7,2;5,6;19,3;2,9;40,9;36,9;4;9,6;25 feb;25 jan - 21 feb;4 001;2;;;
2016;Februari;Aftonbladet;22,4;4,5;8,7;4,5;24,5;6,6;4,5;20,9;3,4;40,1;35,6;4,5;8,5;19 feb;7 - 17 feb;2 073;2,5;;;
2016;Februari;YouGov;21,3;5,6;5,6;3,6;21,6;8,1;4,8;25,3;4,3;36,1;34,5;1,6;;17 feb;12 - 15 feb;1 526;3,2;;;
2016;Februari;Sifo;25,4;6;7,1;3,5;25,2;7,5;6,5;16,6;4;42;39,2;2,8;11,9;13 feb;1-11 feb;1 940;1,8;;;
2016;Februari;Sentio;21,8;4,7;6,6;3;21,1;6,3;5,3;25,5;5,7;36,1;32,7;3,4;29,0;10 feb;3 - 9 feb;1 037;3,2;1,8;;
2016;Februari;Demoskop;27,2;5,8;6,6;3;23;7,1;5,5;18,8;2,9;42,6;35,6;7;7,7;5 feb;26 jan - 2 feb;1 256;1,9;;;
;;;;;;;;;;;;;;;;;;;;;;
2016;Januari;Ipsos;25,8;6,6;7,2;2,7;24,7;6,6;6,5;16,7;3,2;42,3;37,8;4,5;16,7;27 jan;14 - 25 jan;1 200;1,9;;;
2016;Januari;Novus;23,9;6,1;6,4;3,6;24,4;6,6;5,7;20,3;3;40;36,7;3,3;7,4;26 jan;4 - 24 jan;3 002;2,1;;;
2016;Januari;Sifo;25,6;6;6,8;4,4;23,2;8,1;5,9;18,2;2;42,8;37,2;5,6;12,7;24 jan;11 - 21 jan;1 948;1,6;;;
2016;Januari;YouGov;21,4;4;6,8;3,1;21,6;7,5;4,2;28,8;2,6;35,3;33,3;2;;21 jan;15 - 18 jan;1 522;2;;;
2016;Januari;Aftonbladet;21,3;5,1;8,8;4,4;23,2;8;4,6;22,2;2,5;39,6;35,8;3,8;8,8;20 jan;12 - 19 jan;2 520;1,6;;;
2016;Januari;Sentio;20,1;3,9;7,9;2,8;23;6,9;5,3;25,5;4,6;34,7;35,2;-0,5;;19 jan;7 - 13 jan;1 008;2,9;0,7;;
2016;Januari;Demoskop;23,8;6,3;7,4;2,9;27,3;5,4;5,7;18,7;2,6;40,3;38,5;1,8;10,5;14 jan;5 - 12 jan;1 251;1,8;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;December;Skop;23,8;5,8;8,6;3,3;25,3;7,6;6,7;16,3;2,7;41,5;39,6;1,9;11;30 dec;7 - 28 dec;1 004;2,3;;;
2015;December;Sifo;22,1;6,6;6,4;3,5;26;7,8;6,1;19;2,5;38,6;39,9;-1,3;14,1;20 dec;7 - 17 dec;1 939;1,6;;;
2015;December;Sentio;17,8;5,3;7,3;3;23,5;6,9;5,6;26,6;4;33,4;36;-2,6;;17 dec;10 - 16 dec;1 018;1,7;0,7;;
2015;December;Ipsos;24,1;6,6;6,8;3,8;24,7;7,3;5,3;18,9;2,5;41,3;37,3;4;15,6;17 dec;3 - 14 dec;1 207;1,9;;;
2015;December;Novus;21,4;5,8;7;3,5;24,7;6,8;5,8;22;3;37,7;37,3;0,4;8,2;17 dec;23 nov - 13 dec;3 001;2,3;;;
2015;December;Aftonbladet;22,7;4,9;8,8;3,7;23,1;6,3;5,7;22,2;2,6;40,1;35,1;5;9,1;16 dec;9 - 16 dec;2 133;1,6;;;
2015;December;YouGov;21;4,9;6,8;2,8;22,3;7,3;4,5;26,9;3,5;35,5;34,1;1,4;;16 dec;10 - 14 dec;1 530;2,4;;;
2015;December;Demoskop;21,9;6,4;7;3,6;26,3;7;6,4;18,5;2,8;39;39,7;-0,7;11,2;8 dec;25 nov - 2 dec;1 251;1,8;;;
2015;December;SCB;23,5;5,5;6,5;3,5;27,6;5,5;5,9;19,9;2,1;39;39;0;19;3 dec;2 - 25 nov;4 972;;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;November;Ipsos;23,2;6,6;6,3;3,3;27,5;7,2;6,8;17,2;1,9;39,4;41,5;-2,1;16,4;27 nov;13 - 23 nov;1 202;1,6;;;
2015;November;Novus;22,6;5,2;7;3,8;24,4;7,1;6,4;20,7;2,8;38,6;37,9;0,7;7,8;26 nov;26 okt - 22 nov;4 004;1,9;;;
2015;November;Sifo;24,6;5,8;6,8;3,9;26,8;6,6;5,8;17,6;2,2;41,1;39,2;1,9;14,4;22 nov;9 - 19 nov;1 941;1,6;;;
2015;November;YouGov;20,6;5,1;7,5;3,6;21,4;6,7;5,5;26,7;3;36,8;33,6;3,2;;19 nov;13 - 16 nov;1 530;2,3;;;
2015;November;Aftonbladet;21,5;4,8;8,3;5,6;25,8;5,7;5,5;20,7;2,1;40,2;37;3,2;9,2;18 nov;9 - 16 nov;2 054;1,4;;;
2015;November;Sentio;19,3;5,2;7,4;2,9;22;6,5;5,5;26,8;4,4;34,8;34;0,8;;12 nov;5 - 10 nov;1 045;2,5;1,2;;
2015;November;Demoskop;22,1;5,4;6,9;3,5;26,7;5,8;7,2;18,9;3,5;37,9;39,7;-1,8;12,8;7 nov;27 okt - 4 nov;1 250;2,2;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;Oktober;Novus;22,4;4,8;6,9;3,9;26;6,6;6,6;19,4;3,4;38;39,2;-1,2;8,4;29 okt;28 sept - 25 okt;4 003;2,1;;;
2015;Oktober;Ipsos;22;6,3;7,1;3,3;27,7;6,6;6,6;17,6;2,9;38,7;40,9;-2,2;14,6;28 okt;15 - 26 okt;1 201;1,9;;;
2015;Oktober;Skop;23,8;5,9;8,6;3,7;27,1;5,2;7,8;15,7;2,2;42;40,1;1,9;12;23 okt;4 - 21 okt;1 021;2;;;
2015;Oktober;Aftonbladet;20,8;4,2;8,4;6,6;26,2;5,7;5,3;20,5;2,3;40;37,2;2,8;;22 okt;12 - 20 okt;2 256;1,4;;;
2015;Oktober;Sifo;23,8;5,6;8;3,7;24,6;7,3;7,1;17,2;2,7;41,1;39;2,1;13,1;18 okt;5 - 15 okt;1 940;2,2;;;
2015;Oktober;YouGov;21,8;4,5;6,2;3,9;23,2;7;4,9;24,8;3,7;36,4;35,1;1,3;;14 okt;8 - 12 okt;1 542;2,5;;;
2015;Oktober;Sentio;20,8;4,6;6,7;1,9;23,1;7,9;5,1;25;4,9;34;36,1;-2,1;;9 okt;1 - 8 okt;1 043;3,4;0,9;;
2015;Oktober;Demoskop;22,3;4,7;7,6;3,5;25,2;7;6,7;19,5;3,5;38,1;38,9;-0,8;13;9 okt;29 sept - 6 okt;1 252;2,6;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;September;Aftonbladet;22;4,1;8,4;3,5;25,6;7;5,2;21,2;3;38;37,8;0,2;;25 sept;16 - 24 sept;2 240;1,9;;;
2015;September;Ipsos;22,5;6,6;7,1;3;27,3;6,6;7,3;16,7;2,8;39,2;41,2;-2;13,9;24 sept;9 - 20 sept;1 201;1,9;;;
2015;September;Sifo;22,8;5;6,7;3,7;27;7,3;7,2;17,7;2,8;38,2;41,5;-3,3;12,1;20 sept;7 - 17 sept;1 916;2,4;;;
2015;September;YouGov;20;3,7;7,5;4,9;21,8;6,5;5;27,3;3,2;36,1;33,3;2,8;;17 sept;10 - 14 sept;1 515;2,5;;;
2015;September;Novus;23,1;4,9;6;3,2;26,5;6,7;5,9;20,8;2,9;37,2;39,1;-1,9;7,8;15 sept;24 aug - 13 sept;3 002;2,1;;;
2015;September;Sentio;19,8;4,1;6,6;2,6;24,1;4,9;6,7;26,5;4,7;33,1;35,7;-2,6;;10 sept;3 - 9 sept;1 013;2,7;1,3;;
2015;September;Aftonbladet;21,1;5,1;9,6;4,2;24,9;6,2;4,8;21,5;2,5;40;35,9;4,1;;10 sept;2 - 9 sept;1 808;;;;
2015;September;Demoskop;23,1;5,3;7,2;3,5;25,2;6,5;6,4;19,5;3,4;39,1;38,1;1;10,3;5 sept;25 aug - 2 sept;1 262;2,3;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;Augusti;Ipsos;23,8;5,4;6,2;3,5;26,8;6,6;6,8;17,8;3,1;38,9;40,2;-1,3;14,6;28 aug;14 - 24 aug;1 201;2;;;
2015;Augusti;Novus;23,3;5,2;6,7;3,3;25,1;7,3;6,7;19,4;3;38,5;39,1;-0,6;6,8;25 aug;3 - 23 aug;3 005;2,1;;;
2015;Augusti;Sifo;24,5;4,7;6,1;4;26,3;6,5;7,6;17,8;2,6;39,3;40,4;-1,1;13,8;22 aug;10 - 20 aug;1 930;1,7;;;
2015;Augusti;Sentio;21,1;4,6;7,8;2;23,5;7,5;6,4;23,4;3,7;35,5;37,4;-1,9;;20 aug;13 - 19 aug;1 013;2,3;0,4;;
2015;Augusti;Aftonbladet;21,4;4,2;8,6;4,5;25,5;6,5;5,7;20,8;2,8;38,7;37,7;1;;20 aug;11 - 19 aug;2 132;;;;
2015;Augusti;YouGov;21;4,4;5,6;3,7;23,4;6,8;6,4;25,2;3,6;34,7;36,6;-1,9;;20 aug;14 - 17 aug;1 527;2,8;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;Juli;Sentio;20,8;4,4;6,7;3,1;24,1;6,4;6,4;23,3;4,8;35;36,9;-1,9;;23 juli;16 - 22 juli;1 039;;;;
2015;Juli;Demoskop;23,1;4,7;6,6;4,2;25,5;6,8;7,1;18,7;3,3;38,6;39,4;-0,8;11,9;9 juli;30 juni - 7 juli;1 255;2,4;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;Juni;Skop;25,4;4,6;7,4;3,6;29,7;5,7;7,5;14;2,2;41;42,9;-1,9;8;29 juni;8 - 25 juni;1 006;1,6;;;
2015;Juni;Aftonbladet;24,3;4;8;3,1;27,3;6,7;5,7;17,9;3;39,4;39,7;-0,3;;27 juni;20 - 24 juni;2 483;;;;
2015;Juni;Ipsos;26,6;5,8;5,4;2,7;27,1;6,4;6,5;15,9;3,5;40,5;40;0,5;12,4;25 juni;5 - 15 juni;1 201;2,3;;;
2015;Juni;Sentio;23,8;3,7;6,3;2,1;23,9;6,9;6,8;22,1;4,4;35,9;37,6;-1,7;;18 juni;11 - 17 juni;1 025;;;;
2015;Juni;YouGov;23,6;5,2;6,6;3,4;24,7;6,9;5,9;20,1;3,6;38,8;37,5;1,3;;18 juni;12 - 15 juni;1 543;2,3;;;
2015;Juni;Novus;25;4,9;6,4;4;26,4;6,5;6;18;2,8;40,3;38,9;1,4;8,4;18 juni;18 maj - 14 juni;3 942;1,8;;;
2015;Juni;Sifo;25;4,6;7,9;4,1;27,1;6,2;6,6;15,2;3,4;41,6;39,9;1,7;13;14 juni;1 - 11 juni;1 941;2,4;;;
2015;Juni;Demoskop;26,1;4,7;7,3;3,7;25,9;6,8;6,8;15,7;3;41,8;39,5;2,3;13;8 juni;27 maj - 3 juni;1 250;1,9;;;
2015;Juni;SCB;25,6;4,9;6,4;3,7;30;6,2;6,6;14,4;2,3;40,6;42,8;-2,2;13,2;5 juni (redigerad);27 apr - 27 maj;6 067;;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;Maj;Sentio;24,3;4,2;8,5;2,2;24,3;6,5;5,5;19,4;5,1;39,2;36,3;2,9;;30 maj;21 - 27 maj;1 043;;;;
2015;Maj;Aftonbladet;23,3;4,6;8,5;4;26,9;6,7;5,6;17,2;5,6;40,4;39,2;1,2;;29 maj;10 - 25 maj;2 411;1,9;;;
2015;Maj;Ipsos;26,1;5,4;6,8;3,5;27,7;6,8;6,7;14;3;41,8;41,2;0,6;14,8;28 maj;12 - 25 maj;1 200;1,9;;;
2015;Maj;YouGov;22,9;4,9;6,6;3,5;26,1;6,7;5,4;19,7;4,2;37,9;38,2;-0,3;;21 maj;13 - 18 maj;1 492;2,9;;;
2015;Maj;Novus;25,7;4,5;6,7;3,5;25,8;6,8;7,2;16,8;3;40,4;39,8;0,6;7,2;21 maj;20 apr - 17 maj;4 002;1,8;;;
2015;Maj;Sifo;24,4;5,7;7,2;3,2;25,9;7,5;8,2;14,7;3,2;40,5;41,6;-1,1;13,7;17 maj;4 - 12 maj;1 931;2,3;;;
2015;Maj;Demoskop;25,8;5,3;6,2;4,2;27,7;6,3;6,4;15;3;41,5;40,4;1,1;13,4;8 maj;28 apr - 6 maj;1 251;2,2;;;
2015;Maj;Aftonbladet;24,1;4,9;7,6;4,3;27,3;5,5;6,4;16,4;3,4;40,9;39,2;1,7;;1 maj;22 - 30 april;2 185;;;;
2015;Maj;Ipsos;25,8;6;4,9;4,1;27,7;6,5;6,8;14,6;3,5;40,8;41,1;-0,3;14;1 maj;16 - 27 april;1 203;2,1;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;April;YouGov;23,5;4,9;6,3;3,7;26,2;6,6;5,6;19,5;3,7;38,4;38,4;0;;24 april;17 - 20 april;1 528;2,7;;;
2015;April;Novus;25,2;5,2;5,9;3,7;27,1;7,1;6,8;15,8;3,2;40;41;-1;6,6;23 april;23 mars - 19 april;4 011;2,2;;;
2015;April;Sifo;24,7;5,6;6,5;3,9;27,4;6,6;8,9;12,5;3,9;40,7;42,9;-2,2;14,8;20 april;7 - 16 april;1 936;2,6;;;
2015;April;Aftonbladet;24,4;3,5;7,3;4,5;28,8;6,7;6,1;16,3;2,4;39,7;41,6;-1,9;;20 april;7 - 15 april;2 280;;;;
2015;April;Sentio;25,5;4,1;5,6;3,5;25,6;7,4;5,6;17,8;4,9;38,7;38,6;0,1;;15 april;9 - 14 april;1 046;;;;
2015;April;Demoskop;25;5,3;6,5;3,8;28,3;6,1;6,9;15,7;2,5;40,6;41,3;-0,7;11,2;11 april;31 mars - 8 april;1 253;1,9;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;Mars;Novus;24,2;4,9;5,6;4,2;31;5,3;6,5;15,2;3,1;38,9;42,8;-3,9;6,1;26 mars;23 feb - 22 mars;2 500;2;;;
2015;Mars;Ipsos;24,8;5,8;4,7;3,8;30,7;6,7;7,2;12,8;3,5;39,1;44,6;-5,5;13,4;22 mars;9 - 17 mars;1 202;2,3;;;
2015;Mars;YouGov;21,1;5,2;6,3;4,6;29,1;5,6;5,8;18,5;3,9;37,2;40,5;-3,3;;20 mars;13 - 16 mars;1 514;2,7;;;
2015;Mars;Aftonbladet;24,7;3,8;6,1;5,2;28,8;6,4;5,7;16;3,3;39,8;40,9;-1,1;;16 mars;5 - 12 mars;1 844;;;;
2015;Mars;Skop;24,4;6,1;6,4;3,6;30,6;6,3;7,1;12,9;2,7;40,5;44;-3,5;5;16 mars;19 feb - 11 mars;1 035;2,2;;;
2015;Mars;Sifo;23,9;5,1;6,6;4;29,8;6,5;6,6;13,9;3,5;39,6;42,9;-3,3;15,1;15 mars;2 - 12 mars;1 956;2,5;;;
2015;Mars;Sentio;22,2;4,7;6,8;3,8;28,2;7,7;6,6;16,6;3,4;37,5;42,5;-5;16;12 mars;5 - 11 mars;1 043;;;;
2015;Mars;Demoskop;24,1;4,5;6,5;3,7;31,3;5,8;6,2;14,2;3,7;38,8;43,3;-4,5;10,6;6 mars;24 feb - 4 mars;1 250;2,1;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;Februari;Ipsos;23,7;5,2;6;3,7;31,4;6,3;7,5;13,6;2,6;38,6;45,2;-6,6;13,2;28 feb;12 - 23 feb;1 202;2;;;
2015;Februari;Novus;23,4;4;5,9;4,6;30,9;7;6,1;15;3,1;37,9;44;-6,1;6,1;26 feb;26 jan - 22 feb;2 000;2,2;;;
2015;Februari;Sentio;23,1;4,8;5,9;3,7;28,5;5,9;7,2;16,6;4,3;37,5;41,6;-4,1;14;20 feb;12 - 18 feb;1 046;2,2;1,1;;
2015;Februari;Aftonbladet;24,3;3,9;7,2;5,3;30,3;5,6;5,8;14,8;3;40,7;41,7;-1;;16 feb;2 - 11 feb;1 974;;;;
2015;Februari;Sifo;22,1;5,2;7;4,7;28,9;7,2;7,9;13;4;39;44;-5;13,4;15 feb;2 - 12 feb;1 921;2,7;;;
2015;Februari;YouGov;21,8;4,4;6,7;3,5;30,1;5,8;6,3;19;2,5;36,4;42,2;-5,8;;11 feb;5 - 9 feb;1 531;2;;;
2015;Februari;Demoskop;24,3;4,5;5,8;4,7;30,6;6,5;6,9;14;2,7;39,3;44;-4,7;10,7;6 feb;27 jan - 4 feb;1 255;2,2;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;Januari;Ipsos;23,2;6,2;5;3,8;34,3;5,8;6,3;13,1;2,3;38,2;46,4;-8,2;11,8;31 jan;12 - 26 jan;1 202;1,5;;;
2015;Januari;Sifo;24;5,1;5,8;3,7;29,7;6,9;7,4;13,3;4,2;38,6;44,0;-5,4;12,1;25 jan;12 - 22 jan;1 939;3,1;;;
2015;Januari;Novus;24,1;4,1;6;4,5;30;5,3;6,4;16,5;3,1;38,7;41,7;-3,0;8,1;22 jan;22 dec - 18 jan;2 007;2,2;;;
2015;Januari;Aftonbladet;24,8;3,5;6,1;4,9;33;5,4;5,5;13,6;3,4;39,3;43,9;-4,6;;19 jan;7 - 16 jan;2 065;;;;
2015;Januari;Sentio;23,7;4,8;5,4;3,9;29,7;7;5,6;15,8;4,1;37,8;42,3;-4,5;;15 jan;8 - 13 jan;1 040;;;;
2015;Januari;Sifo;23,1;5;6,7;3,4;33,3;5,6;6,7;13,4;2,8;38,2;45,6;-7,4;11,9;11 jan;7 - 8 jan;1 075;1,7;;;
2015;Januari;Demoskop;24,4;4,8;5,3;4,1;32,3;5,3;6,6;14,4;2,8;38,6;44,2;-5,6;10,5;10 jan;30 dec - 7 jan;1 254;2,1;;;
;;;;;;;;;;;;;;;;;;;;;;
2014;December;YouGov;23,2;3,7;5,7;5,5;30,6;6;5,7;16,9;2,7;38,1;42,3;-4,2;;29 dec;19 - 27 dec;1 508;2;;;
2014;December;Inizio;27,9;4,2;6,6;4,2;30,5;4,1;6,1;13,2;3,2;42,9;40,7;2,2;;22 dec;11 - 17 dec;1 329;;;;
2014;December;Sifo;24,5;5,7;6,1;3,7;31;5,9;7,4;12,9;2,9;40,0;44,3;-4,3;13,1;21 dec;8 - 18 dec;1 929;2,4;;;
2014;December;Ipsos;26,3;5,6;5,1;3,9;32;5,4;6,7;12,5;2,5;40,9;44,1;-3,2;11,7;18 dec;8 - 15 dec;1 403;1,5;;;
2014;December;Novus;23,7;4,3;6,6;3,9;32;5,3;6;16;2,2;38,5;43,3;-4,8;8,5;16 dec;3 - 14 dec;1 786;1,1;;;
2014;December;Inizio;26,9;4,8;7,4;4,3;31;4,2;5,8;14;1,6;43,4;41,0;2,4;;11 dec;4 - 10 dec;1 574;;;;
2014;December;Sentio;24,5;3,7;5,5;3,9;29,7;5,1;7,2;17,5;2,9;37,6;41,7;-4,1;16,3;11 dec;4 - 10 dec;1 043;;;;
2014;December;YouGov;23,1;5;5,7;4,2;29,6;4,7;6,9;17,7;3,2;38,0;41,7;-3,7;;6 dec;4 - 5 dec;1 010;2,5;;;
2014;December;Demoskop;26,1;5,5;6,1;4;27,3;6,4;7,9;13,5;3,1;41,7;41,7;0,0;10,5;5 dec;25 nov - 3 dec;1 250;2,3;;;
2014;December;Inizio;24,5;6,1;6,3;3,7;29,8;6,2;7,5;12;3,6;40,6;43,5;-2,9;;4 dec;17 nov - 2 dec;2 768;2,9;;;
2014;December;Sentio;23,9;6,2;6,2;2,3;27,4;7,4;7,5;16,4;2,7;38,6;42,3;-3,7;;2 dec;25 - 30 nov;1 045;;;;
2014;December;SCB;24,2;5,3;6;3,7;32,2;5,7;7,2;12,4;3,2;39,2;45,1;-5,9;11;1 dec;29 okt - 25 nov;5 072;;;;
;;;;;;;;;;;;;;;;;;;;;;
2014;November;Ipsos;26,5;6,4;6,2;2,8;28,5;6,2;7,4;12,5;3,4;41,9;42,1;-0,2;12,7;29 nov;13 - 24 nov;1 587;2,4;;;
2014;November;Skop;25,3;5,3;6,8;4,2;30,7;6,4;6,7;11,8;2,7;41,6;43,8;-2,2;5;27 nov;4 - 24 nov;1 020;1,9;;;
2014;November;Sifo;25,6;5,5;6,1;3,9;28,4;5,9;8,4;12,1;4,1;41,1;42,7;-1,6;11,6;23 nov;10 - 20 nov;1 932;2,8;;;
2014;November;Novus;25,8;5,2;7,1;4;28,6;6,3;7,9;12,3;2,8;42,1;42,8;-0,7;6,1;13 nov;13 okt - 9 nov;2 009;2,2;;;
2014;November;Demoskop;25,1;4,8;6,2;4,2;28,3;7,1;7;13,8;3,6;40,3;42,4;-2,1;10,6;8 nov;28 okt - 5 nov;1 250;2,6;;;
2014;November;Inizio;24;5,6;5,9;4,2;30,6;5,9;7,3;12,9;3,7;39,7;43,8;-4,1;7,9;3 nov;15 - 30 okt;2 742;;;;
;;;;;;;;;;;;;;;;;;;;;;
2014;Oktober;Ipsos;24,1;5,5;5,8;3,9;30,7;6,2;7,9;12,5;3,5;39,3;44,8;-5,5;11,9;30 okt;9 - 21 okt;2 003;2,5;;;
